rutaImagen,etiqueta,estado,crudo_m00,crudo_m10,crudo_m01,crudo_m20,crudo_m02,crudo_m11,crudo_m30,crudo_m03,crudo_m21,crudo_m12,central_mu20,central_mu02,central_mu11,central_mu30,central_mu03,central_mu21,central_mu12,normalizado_nu20,normalizado_nu02,normalizado_nu11,normalizado_nu30,normalizado_nu03,normalizado_nu21,normalizado_nu12,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,momentos_tamano,sift_tamano,hog_tamano
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,4392375.0,506395830.0,430797000.0,62053427370.0,58864581480.0,49169704860.0,7992844155930.0,9306500319930.0,5983033155090.0,6675456157200.0,3671177074.5700984,16612711999.59361,-496774977.5616864,-7778373085.319346,274462278911.77573,11479998416.734375,-13581153173.076172,0.00019028585703711944,0.0008610764548652796,-2.5749031016432468e-05,-1.9237128343905952e-07,6.787879710927974e-06,2.8391824422431836e-07,-3.3588307449768664e-07,2.978247553849058,6.344177920129379,9.866773327848986,9.823071710105811,9.999999999990756,9.999853476241459,-9.999999999999192,0.3183098861837907,0.5109479902911307,0.5469480313943998,0.5027523898750808,0.43359295027183886,0.3165180847588104,0.27828788071345645,0.306853144058863,0.06788248658320714,0.17394113801182884,0.27622937590686,0.14908525548679644,0.025118223337570928,0.14206858081036183,0.2116279209590033,0.19050609816996913,0.05673407525340875,0.15896703481838914,0.14067116386785206,0.16960195437437178,0.290485368516189,0.10844319840786136,0.4184940166801044,0.37823907413009294,0.3861365408400246,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,4256970.0,502170480.0,432869895.0,63645290370.0,62557174005.0,50477316045.0,8494022884320.0,10296566866215.0,6392276425185.0,7323374894415.0,4407101944.093688,18540808844.495922,-585877482.2505081,-53610529162.171295,164798660541.68585,58731813233.17578,63011619812.38672,0.0002431934744438698,0.0010231221739573039,-3.2329994248914246e-05,-1.4338331597743182e-06,4.407600295387394e-06,1.5708037705179193e-06,1.6852687587692012e-06,2.8974579920351933,6.212844495615471,9.847074964327584,9.867085727050485,9.999999999999522,9.999880012417494,-9.999999999993975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,3511860.0,426636930.0,368561190.0,54737783370.0,48526778460.0,45653463450.0,7350722589990.0,7200079522860.0,5968070919420.0,6025817351400.0,2907963832.824572,9847175407.994484,878952330.8931171,-5621164133.590443,40437455948.9241,9914949379.457031,-53927062961.33789,0.00023578415242333232,0.000798430806163994,7.126740299202622e-05,-2.432110374986383e-07,1.7496083340411992e-06,4.289903422165258e-07,-2.333263470053476e-06,2.9853891430155355,6.472386301215055,9.83604771837156,9.95317518933597,9.999999999999492,-9.999988427888189,-9.999999999998991,0.31830988618379075,0.07787068078252732,0.07277468117984773,0.06352003785938906,0.09828994828143743,0.10648469976228842,0.011307290908781985,0.0542011661154788,0.046494360424574534,0.15701887071653817,0.14289044671328402,0.10571355777104312,0.07765146562384524,0.12677955259288493,0.18155508785723998,0.049732559901810046,0.23233846148923298,0.19194193950779215,0.1360183169357234,0.10106451084244117,0.13303403608885664,0.3337748584480285,0.23787306591680904,0.22123593156253604,0.015430132043414936,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,3393795.0,405529050.0,329956995.0,51202838220.0,41878774695.0,39862970625.0,6772011852630.0,6159229241565.0,5071611541305.0,5045948061315.0,2745636063.1512494,9799165128.296642,435973200.8171148,-2442323102.8370814,182203283565.9636,-10703162573.105469,-42975851800.46094,0.00023838106710578772,0.0008507811619243349,3.7851978357622775e-05,-1.151036522077427e-07,8.58701428910996e-06,-5.044267488222834e-07,-2.0253984795154778e-06,2.962907388060378,6.4192289751515945,9.624243932317015,9.769781134947142,9.999999999971106,9.9998498396875,-9.999999999992822,0.31830988618379064,0.25162964046183545,0.00201364254240705,0.03064530423087765,0.12544111384699436,0.07477761209590833,0.09927180651725381,0.06350627182260858,0.09455866567197588,0.09433988925294294,0.1605359072077048,0.08305720554617609,0.15474989973542982,0.015792773126124517,0.03387498711014718,0.1172874654273048,0.2107593203887579,0.12005741996574835,0.0744053538495666,0.11970078682462439,0.1573727025402049,0.16676207557383058,0.07393777314646002,0.07991614472022074,0.1399508785000319,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,6278610.0,787263030.0,980793495.0,126085494600.0,168028040205.0,116908163175.0,22147604381070.0,30141532593765.0,18230813211465.0,19595042433045.0,27372072615.710342,14816440848.722906,-6071677693.916819,-526282063141.8452,-735452346790.6079,57392954346.80469,423260767216.14844,0.0006943535634407531,0.0003758520096470562,-0.00015402162276944805,-5.327945822420429e-06,-7.445532601433552e-06,5.810316800897846e-07,4.284984411250852e-06,2.97053275119002,6.706783603030584,9.288151708016878,9.82912500864404,9.999999999999538,-9.999917176691902,9.999999999970388,0.3183098861837905,0.014629868605676059,0.01804064610605374,0.036426054075812044,0.04085986419727115,0.04504836272515442,0.008875833034993038,0.06407279949999367,0.0443841289409783,0.07700315934092967,0.05758325157976129,0.09775512633702656,0.030737757154175704,0.10033634912890689,0.07611038684579736,0.1164401341038934,0.09822510541056181,0.036436022805095135,0.090659085030118,0.12410169582302447,0.08405392071727684,0.13056848207215116,0.12928573588260847,0.1838034045865571,0.07889303208512426,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,4021605.0,449348505.0,371009955.0,53597948415.0,49345526085.0,41554419795.0,6745807750965.0,7652870229765.0,4972899468465.0,5541887322555.0,3390611059.457867,15118299216.846111,100132608.82252339,-575847761.1518449,311084938448.6228,5887216964.970703,9857507563.273438,0.00020964241304592354,0.0009347685928555555,6.191226705163229e-06,-1.7754528861460202e-08,9.591365792590527e-06,1.8151457827876913e-07,3.0392651381351956e-07,2.941417936249224,6.278963644665169,9.73824000484755,9.708650943818025,9.99999999996309,9.999699285321563,-9.999999999999462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,4021605.0,449348505.0,371009955.0,53597948415.0,49345526085.0,41554419795.0,6745807750965.0,7652870229765.0,4972899468465.0,5541887322555.0,3390611059.457867,15118299216.846111,100132608.82252339,-575847761.1518449,311084938448.6228,5887216964.970703,9857507563.273438,0.00020964241304592354,0.0009347685928555555,6.191226705163229e-06,-1.7754528861460202e-08,9.591365792590527e-06,1.8151457827876913e-07,3.0392651381351956e-07,2.941417936249224,6.278963644665169,9.73824000484755,9.708650943818025,9.99999999996309,9.999699285321563,-9.999999999999462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,3673785.0,515606175.0,413745405.0,75240670515.0,56011606035.0,57881714835.0,11352337780185.0,8324674353645.0,8457727092885.0,7746586981635.0,2876684136.3385806,9415177512.750048,-186377254.1875514,-14965025263.837494,-104103457242.36617,36361343821.58203,-72516335047.9375,0.00021313987424188946,0.0006975912738152702,-1.3809101950846883e-05,-5.784863460903181e-07,-4.0242116223506585e-06,1.4055800478406176e-06,-2.8031833527947844e-06,3.0406097621109063,6.627905969696893,9.639711788603542,9.927041243056117,-9.999999999998478,-9.999988243033378,9.999999999996449,0.31830988618379064,0.0048523474921308655,0.049154255482422866,0.05687456579612884,0.019129282198970032,0.07216097481886755,0.05585355457441808,0.10474135703742997,0.026075686634982494,0.0487149109975965,0.10498457743515731,0.023167502308983564,0.013003836677149501,0.15477121130921911,0.10416159236346569,0.026044694429711523,0.06891145639479318,0.09039630325600846,0.054086416535080985,0.009877405854834041,0.06552758735859798,0.17957649461145297,0.18936958342641763,0.008406903412506165,0.14560732286887193,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,3133440.0,358806930.0,316291290.0,43231439280.0,42777376590.0,37729401690.0,5476005749760.0,6548296462350.0,4739964257130.0,5195497791210.0,2144833818.9013705,10850746391.284184,1511217601.381839,34413607137.654335,39761187511.12084,30061276809.51172,-7981163847.4765625,0.0002184494132647455,0.001105138851211663,0.00015391616610480136,1.980052651541901e-06,2.287735907629002e-06,1.729633008749047e-06,-4.592115140785409e-07,2.878247059331693,6.05498519704815,9.921939191294022,9.926456829253421,-9.999999999998511,9.999930426361441,-9.999999999999655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,4824600.0,647831070.0,391897515.0,94294224360.0,44107608825.0,53651008305.0,14598885941010.0,5858869344825.0,7882521691605.0,6044097045525.0,7305645978.922832,12274158950.777224,1028327362.9962994,-24580701839.648357,282015911554.1029,-53066136877.52734,-45584440312.31445,0.00031386002001159645,0.000527313776910452,4.4178276316652044e-05,-4.807740270549248e-07,5.515950129330042e-06,-1.03792074340631e-06,-8.915862160065075e-07,3.0751142126840136,7.2718947970554435,9.746454823765399,9.91386762896698,9.99999999999682,9.99998787320702,-9.999999999997618,0.3183098861837905,0.030755946799425813,0.02148962101954654,0.036730840938013994,0.07041384060054784,0.05051486649165696,0.02677427217568973,0.07031183709475476,0.05322482019899671,0.10791665389398483,0.09007058416527404,0.09007771685606557,0.01635752444644421,0.10601249314555629,0.08061249721111081,0.10817583366676199,0.08895243470053862,0.08970499409741446,0.04825071371580513,0.09963082975309259,0.014682044743726955,0.11614603536042135,0.11156221077264232,0.12602893783382504,0.05365277031697954,56,57,756
