rutaImagen,etiqueta,estado,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,0.3183098861837907,0.5109479902911307,0.5469480313943998,0.5027523898750808,0.43359295027183886,0.3165180847588104,0.27828788071345645,0.306853144058863,0.06788248658320714,0.17394113801182884,0.27622937590686,0.14908525548679644,0.025118223337570928,0.14206858081036183,0.2116279209590033,0.19050609816996913,0.05673407525340875,0.15896703481838914,0.14067116386785206,0.16960195437437178,0.290485368516189,0.10844319840786136,0.4184940166801044,0.37823907413009294,0.3861365408400246
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,0.31830988618379075,0.07787068078252732,0.07277468117984773,0.06352003785938906,0.09828994828143743,0.10648469976228842,0.011307290908781985,0.0542011661154788,0.046494360424574534,0.15701887071653817,0.14289044671328402,0.10571355777104312,0.07765146562384524,0.12677955259288493,0.18155508785723998,0.049732559901810046,0.23233846148923298,0.19194193950779215,0.1360183169357234,0.10106451084244117,0.13303403608885664,0.3337748584480285,0.23787306591680904,0.22123593156253604,0.015430132043414936
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,0.31830988618379064,0.25162964046183545,0.00201364254240705,0.03064530423087765,0.12544111384699436,0.07477761209590833,0.09927180651725381,0.06350627182260858,0.09455866567197588,0.09433988925294294,0.1605359072077048,0.08305720554617609,0.15474989973542982,0.015792773126124517,0.03387498711014718,0.1172874654273048,0.2107593203887579,0.12005741996574835,0.0744053538495666,0.11970078682462439,0.1573727025402049,0.16676207557383058,0.07393777314646002,0.07991614472022074,0.1399508785000319
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,0.3183098861837905,0.014629868605676059,0.01804064610605374,0.036426054075812044,0.04085986419727115,0.04504836272515442,0.008875833034993038,0.06407279949999367,0.0443841289409783,0.07700315934092967,0.05758325157976129,0.09775512633702656,0.030737757154175704,0.10033634912890689,0.07611038684579736,0.1164401341038934,0.09822510541056181,0.036436022805095135,0.090659085030118,0.12410169582302447,0.08405392071727684,0.13056848207215116,0.12928573588260847,0.1838034045865571,0.07889303208512426
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,0.31830988618379064,0.0048523474921308655,0.049154255482422866,0.05687456579612884,0.019129282198970032,0.07216097481886755,0.05585355457441808,0.10474135703742997,0.026075686634982494,0.0487149109975965,0.10498457743515731,0.023167502308983564,0.013003836677149501,0.15477121130921911,0.10416159236346569,0.026044694429711523,0.06891145639479318,0.09039630325600846,0.054086416535080985,0.009877405854834041,0.06552758735859798,0.17957649461145297,0.18936958342641763,0.008406903412506165,0.14560732286887193
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,0.3183098861837905,0.030755946799425813,0.02148962101954654,0.036730840938013994,0.07041384060054784,0.05051486649165696,0.02677427217568973,0.07031183709475476,0.05322482019899671,0.10791665389398483,0.09007058416527404,0.09007771685606557,0.01635752444644421,0.10601249314555629,0.08061249721111081,0.10817583366676199,0.08895243470053862,0.08970499409741446,0.04825071371580513,0.09963082975309259,0.014682044743726955,0.11614603536042135,0.11156221077264232,0.12602893783382504,0.05365277031697954
