rutaImagen,etiqueta,estado,tamanoVector,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,57,70.0,0.06520035862922668,0.026999130845069885,0.12076108157634735,0.01473588403314352,4.7324628829956055,6.405787467956543,36.77483367919922,1.8361189365386963,18.223661422729492,41.420066833496094,0.0,204.0,0.0,15.963393211364746,37.94699478149414,0.0,204.0,16.105356216430664,40.043209075927734,0.0,199.0,21.16964340209961,43.40629959106445,0.0,204.0,19.506250381469727,43.45488357543945,0.0,199.0,21.14285659790039,43.49130630493164,0.0,204.0,19.733928680419922,43.917362213134766,0.0,199.0,16.363393783569336,38.598819732666016,0.0,204.0,15.804464340209961,39.483882904052734,0.0,199.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,57,66.0,0.05510193854570389,0.02877039648592472,0.12676195800304413,0.014243518933653831,6.355684757232666,7.842000961303711,34.50852584838867,1.8042856454849243,18.969104766845703,41.097930908203125,0.0,213.0,0.0,17.595643997192383,40.11458969116211,0.0,213.0,14.429924011230469,35.80577850341797,0.0,203.0,21.77651596069336,43.3919677734375,0.0,213.0,19.579545974731445,41.67668914794922,0.0,203.0,22.85416603088379,44.48982238769531,0.0,213.0,20.383522033691406,42.9240608215332,0.0,203.0,19.875,41.70612716674805,0.0,213.0,15.258522987365723,37.11640167236328,0.0,203.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,57,74.0,0.0667910948395729,0.02990279160439968,0.13582420349121094,0.013665230944752693,4.9513750076293945,5.032852649688721,26.960174560546875,1.8104041814804077,18.601245880126953,41.255741119384766,0.0,210.0,0.0,17.719594955444336,38.52093505859375,0.0,210.0,16.454391479492188,39.69913864135742,0.0,200.0,21.704391479492188,43.92384719848633,0.0,210.0,19.664695739746094,42.711631774902344,0.0,200.0,20.9577693939209,43.05317687988281,0.0,210.0,19.81587791442871,43.103702545166016,0.0,200.0,16.30320930480957,38.124267578125,0.0,210.0,16.190032958984375,40.044761657714844,0.0,200.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,57,139.0,0.07078740000724792,0.029597779735922813,0.12509797513484955,0.013874078169465065,4.815089225769043,5.592298984527588,49.39206314086914,1.8153972625732422,21.013883590698242,40.08258056640625,0.0,200.0,2.0,21.225719451904297,39.68399429321289,0.0,200.0,15.863308906555176,35.45201873779297,0.0,189.0,27.007644653320312,43.87862777709961,0.0,200.0,21.03597068786621,40.745994567871094,0.0,189.0,26.6888484954834,43.95868682861328,0.0,200.0,20.687950134277344,40.45558547973633,0.0,189.0,20.18120574951172,38.561744689941406,0.0,200.0,15.420413970947266,35.395668029785156,0.0,189.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,57,78.0,0.06050584465265274,0.03136545792222023,0.13402295112609863,0.01341854128986597,6.238579273223877,6.58927059173584,32.40985107421875,1.8249791860580444,20.64923858642578,40.26588821411133,0.0,210.0,1.0,20.288461685180664,40.29426956176758,0.0,210.0,16.205928802490234,36.15564727783203,0.0,200.0,25.012020111083984,42.931617736816406,0.0,210.0,21.38541603088379,40.839111328125,0.0,200.0,24.81169891357422,43.016510009765625,0.0,210.0,21.76121711730957,41.43266677856445,0.0,200.0,19.795673370361328,39.245479583740234,0.0,210.0,15.933493614196777,36.61482620239258,0.0,200.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,57,27.0,0.05640975385904312,0.030324475839734077,0.11850520223379135,0.01386868953704834,3.6864144802093506,1.9657589197158813,7.589528560638428,1.9303503036499023,17.545717239379883,41.716854095458984,0.0,217.0,0.0,18.36111068725586,42.5521354675293,0.0,193.0,13.891203880310059,37.516719818115234,0.0,217.0,19.942129135131836,43.988468170166016,0.0,193.0,17.613426208496094,42.17897033691406,0.0,217.0,19.905092239379883,43.62925338745117,0.0,193.0,18.092592239379883,42.37427520751953,0.0,217.0,18.516202926635742,43.12535095214844,0.0,193.0,14.043981552124023,37.314918518066406,0.0,217.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,57,63.0,0.06564696878194809,0.03274828940629959,0.12448856234550476,0.015361490659415722,5.757801532745361,5.069124221801758,27.586790084838867,1.8666038513183594,22.17745590209961,39.455196380615234,0.0,211.0,2.0,20.130952835083008,36.37277603149414,0.0,189.0,19.6011905670166,38.86479187011719,0.0,211.0,26.329364776611328,40.843299865722656,0.0,189.0,22.796627044677734,41.66025161743164,0.0,211.0,26.27777862548828,40.68037796020508,0.0,189.0,23.05158805847168,41.57439041137695,0.0,211.0,20.072420120239258,35.442771911621094,0.0,189.0,19.15972137451172,38.954124450683594,0.0,211.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,57,92.0,0.06722219288349152,0.029037024825811386,0.12880440056324005,0.013462338596582413,7.331153869628906,8.532852172851562,47.16276168823242,1.864906668663025,19.51919174194336,40.82679748535156,0.0,211.0,0.0,16.96059799194336,36.7504768371582,0.0,211.0,16.94089698791504,39.63776397705078,0.0,211.0,22.5828800201416,42.93476486206055,0.0,199.0,20.494565963745117,41.77553939819336,0.0,211.0,22.748641967773438,42.833099365234375,0.0,199.0,21.03192901611328,42.403724670410156,0.0,200.0,18.62432098388672,39.77568817138672,0.0,199.0,16.76970100402832,39.55775451660156,0.0,200.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,57,330.0,0.042306311428546906,0.02494797296822071,0.11365021020174026,0.013435695320367813,3.9357101917266846,3.513911485671997,30.113737106323242,1.8089611530303955,23.142589569091797,38.89326477050781,0.0,208.0,5.0,22.122726440429688,37.49748611450195,0.0,199.0,20.435985565185547,38.246150970458984,0.0,208.0,26.887500762939453,39.6804313659668,0.0,199.0,24.405492782592773,41.126914978027344,0.0,208.0,26.644886016845703,39.72918701171875,0.0,199.0,24.25511360168457,41.0615348815918,0.0,208.0,21.18238639831543,36.11900329589844,0.0,199.0,19.206628799438477,36.617431640625,0.0,208.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,57,72.0,0.05787430331110954,0.024734221398830414,0.12476787716150284,0.013412713073194027,5.979700565338135,7.48174524307251,42.99855422973633,1.9032827615737915,19.24739646911621,40.96744918823242,0.0,211.0,1.0,17.12065887451172,38.81562423706055,0.0,211.0,18.15277862548828,41.80036163330078,0.0,199.0,22.63020896911621,42.62050247192383,0.0,211.0,20.36631965637207,43.03084945678711,0.0,199.0,21.82986068725586,40.486629486083984,0.0,211.0,19.11545181274414,42.16215515136719,0.0,199.0,17.59288215637207,37.93266677856445,0.0,211.0,17.17100715637207,40.208412170410156,0.0,199.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
