rutaImagen,etiqueta,estado,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,0.31830988618379075,0.2400330062155688,0.028610642057482826,0.0889606428013994,0.23815577959050455,0.0623599459977874,0.47045224971305827,0.026746593244005773,0.11608874650230602,0.1815030469322388,0.12464702696961091,0.0759930653281566,0.16119648381846893,0.11006113142361126,0.08033385148097168,0.10259935789622396,0.05711292790473423,0.12105954861405233,0.008537683200535617,0.11547580187852871,0.04553087293509524,0.2629406246739883,0.1314746056044116,0.17129451916844546,0.061755490185829355
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,0.3183098861837906,0.036414519950203124,0.011074277864278333,0.00791182157014985,0.08039030960030091,0.08368185119320082,0.020576029516398,0.035948736450730524,0.06923536704657096,0.1292520591164967,0.12648684819511524,0.08852148911919572,0.019973322372326432,0.15652348783582162,0.1201455770316545,0.0698612381656413,0.16376376912098764,0.1415887955463529,0.10514101133699057,0.06623115780994068,0.018241578217347718,0.31511823830799146,0.16048197882705922,0.19107418664941933,0.05540954265018287
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,0.3183098861837907,0.38339621320664136,0.15553864081606636,0.18103603781273278,0.12015275448981547,0.16128887125568028,0.03195271713476863,0.27034146752807886,0.38017967088981397,0.09722237621985222,0.29530342603666837,0.3661550598465591,0.20748161298802362,0.04238336703393603,0.3761995467533243,0.12775040366138876,0.15631451620129533,0.17098316108858627,0.3843981003230389,0.21968392876642734,0.31287230411967537,0.055994480695029394,0.26247538523278496,0.10979667452568696,0.4801242447606948
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,0.31830988618379047,0.047471031826189475,0.03726538876057744,0.043908529902819786,0.09527281195946555,0.058837114892447966,0.03174806551668677,0.03685789637981127,0.045250219672477596,0.1255216931062664,0.10556626446810803,0.07362575542538315,0.023926847839478425,0.047995371344976924,0.10461166724025744,0.07292510012339092,0.10190945080292987,0.13463946399609245,0.08497683079511337,0.09637981630638483,0.11753718162334356,0.1718582161140861,0.17305000201704568,0.19764309342410213,0.07083757360879886
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
